Brand,Avg Rating,Total Comment,Seller Rating,Front Camera,Camera Resolution,Battery Capacity,NFC,Screen Size,Screen Resolution,RAM Capacity,Wireless Charging
Xiaomi,4.6,14,"9,7",5 MP,13 MP,5000 mAh ve Üzeri,,"6,5 inç",,4 GB RAM,Yok
Samsung,4.6,367,"9,4",5 MP,50 MP + 2 MP,5000 mAh ve Üzeri,,"6,5 inç",,4 GB RAM,Yok
Samsung,4.7,2314,"9,7",32 MP,64 MP + 12 MP + 5 MP + 5 MP,5000 mAh ve Üzeri,,"6,5 inç",,8 GB RAM,Yok
,,,,,,,,,,,
Nokia,2.4,5,"9,1",Yok,"0,08 MP",1500 - 1999 mAh,,"1,43 inç",,Yok,Yok
Samsung,4.5,51,10,10 MP,48 MP,5000 mAh ve Üzeri,,"6,5 inç",,4 GB,Yok
vivo,4.7,71,"9,4","8,0 MP",50 MP + 2 MP,5000 mAh ve Üzeri,,"6,56 inç",,4 GB RAM,Yok
TCL,4.8,42,"9,6",Yok,"0,08 MP",0 - 1499 mAh,,"2,8 inç",,Yok,Yok
Samsung,4.8,704,10,12 MP,200 MP + 12 MP + 10 MP + 10 MP,5000 mAh ve Üzeri,,"6,8 inç",,12 GB RAM,Var
Huawei,4.9,11,,60 MP,50 MP + 8 MP,4000 - 4999 mAh,,"6,7 inç",,8 GB RAM,Yok
Infinix,4.5,15,"9,6",32 MP,50 MP,5000 mAh ve Üzeri,Var,"6,56 inç",,8 GB RAM,Yok
vivo,4.7,288,"9,4","8,0 MP",50 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,55 inç",720 x 1600,6 GB RAM,Var
Xiaomi,3.4,446,"9,7",16 MP,108 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,,"6,43 inç",,8 GB RAM,Yok
General Mobile,4.5,103,"9,9","8,0 MP",50 MP,5000 mAh ve Üzeri,Yok,"6,52 inç",720 x 1600,4 GB RAM,Yok
,,,,,,,,,,,
Reeder,3.7,1987,"9,4",5 MP,5 MP,3500 - 3999 mAh,Yok,"6,26 inç",720 x 1520,2 GB RAM,Yok
Infinix,3.6,5,"9,8","8,0 MP",50 MP,5000 mAh ve Üzeri,,"6,56 inç",,4 GB RAM,Yok
Samsung,4.5,392,"9,5",13 MP,50 MP + 5 MP + 2 MP,5000 mAh ve Üzeri,,"6,6 inç",,4 GB RAM,Yok
Alcatel,3.7,1131,"9,4","2,0 MP",5 MP,2000 - 2499 mAh,,"5,0 inç",,1 GB RAM,Yok
